Country,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,Population
USA,"111,367,209",,"1,199,031","109,053,249","1,114,929","334,805,269"
India,"45,028,429",161,"533,475",N/A,N/A,"1,406,631,776"
France,"40,138,560",,"167,642","39,970,918",0,"65,584,518"
Germany,"38,819,284",574,"182,439","38,240,600","396,245","83,883,596"
Brazil,"38,407,327",,"709,765","36,249,161","1,448,401","215,353,593"
S. Korea,"34,571,873",,"35,934","34,535,939",0,"51,329,899"
Japan,"33,803,572",,"74,694",N/A,N/A,"125,584,838"
Italy,"26,716,804",,"196,257","26,347,863","172,684","60,262,770"
UK,"24,898,914",,"232,112","24,655,170","11,632","68,497,907"
Russia,"23,957,146",,"402,264","23,370,779","184,103","145,805,947"
Turkey,"17,232,066",,"102,174",N/A,N/A,"85,561,976"
Spain,"13,914,811",,"121,760","13,762,417","30,634","46,719,142"
Australia,"11,812,730","1,345","24,228",N/A,N/A,"26,068,792"
Vietnam,"11,624,114",,"43,206","10,640,971","939,937","98,953,541"
Taiwan,"10,241,523",,"19,005","10,222,518",0,"23,888,595"
Argentina,"10,094,643",,"130,733","9,963,910",0,"46,010,234"
Netherlands,"8,634,340",,"22,992","8,610,383",965,"17,211,447"
Mexico,"7,702,809",,"334,958","6,899,865","467,986","131,562,772"
Iran,"7,626,527",,"146,799",N/A,N/A,"86,022,837"
Indonesia,"6,828,605",,"162,033","6,647,104","19,468","279,134,505"
Poland,"6,659,256",210,"120,553",N/A,N/A,"37,739,785"
Colombia,"6,390,825",,"143,146","6,210,192","37,487","51,512,762"
Greece,"6,101,379",,"37,869",N/A,N/A,"10,316,637"
Austria,"6,081,287",,"22,542","6,054,934","3,811","9,066,710"
Portugal,"5,642,217",,"28,093","5,613,586",538,"10,140,570"
Ukraine,"5,557,995",,"112,418","5,445,577",0,"43,192,122"
Chile,"5,356,303",,"64,497","5,252,450","39,356","19,250,195"
Malaysia,"5,274,786",,"37,347","5,229,308","8,131","33,181,072"
Canada,"4,929,750",,"58,348","4,852,719","18,683","38,388,419"
Belgium,"4,858,488",,"34,376","4,820,246","3,866","11,668,278"
Israel,"4,841,772",,"12,707","4,798,473","30,592","9,326,000"
DPRK,"4,772,813",,74,"4,772,739",0,"25,990,679"
Thailand,"4,766,751",,"34,564","4,692,636","39,551","70,078,203"
Czechia,"4,758,292",46,"43,503","4,713,257","1,532","10,736,784"
Peru,"4,572,667",,"222,161","4,350,506",0,"33,684,208"
Switzerland,"4,451,386",,"14,452","4,435,850","1,084","8,773,637"
Philippines,"4,140,383",,"66,864","4,067,381","6,138","112,508,994"
South Africa,"4,076,463",,"102,595","3,912,506","61,362","60,756,135"
Romania,"3,524,982",,"68,860","3,452,423","3,699","19,031,335"
Denmark,"3,183,756",,"8,814","3,174,942",0,"5,834,950"
Singapore,"3,001,665",,"1,933","2,998,448","1,284","5,943,546"
Hong Kong,"2,928,551",,"14,542","2,911,227","2,782","7,604,299"
Sweden,"2,753,119",,"27,293","2,724,761","1,065","10,218,971"
Serbia,"2,614,044",,"18,057","2,595,259",728,"8,653,016"
New Zealand,"2,592,549",,"5,533","2,582,426","4,590","4,898,203"
Iraq,"2,465,545",,"25,375","2,439,497",673,"42,164,965"
Hungary,"2,229,804",,"49,039","2,152,155","28,610","9,606,259"
Bangladesh,"2,047,373",,"29,482",N/A,N/A,"167,885,689"
Slovakia,"1,877,257",,"21,219","1,856,038",0,"5,460,193"
Georgia,"1,855,289",,"17,132",N/A,N/A,"3,968,738"
Jordan,"1,746,997",,"14,122","1,731,007","1,868","10,300,869"
Ireland,"1,733,110",,"9,480","1,722,398","1,232","5,020,199"
Pakistan,"1,581,936",,"30,664","1,538,689","12,583","229,488,994"
Finland,"1,515,108",,"11,939","1,502,620",549,"5,554,960"
Norway,"1,509,662",,"6,636","1,502,842",184,"5,511,370"
Kazakhstan,"1,411,831",,"13,848","1,383,020","14,963","19,205,043"
Lithuania,"1,396,037",77,"9,895","1,384,266","1,876","2,661,708"
Slovenia,"1,356,402",12,"7,100","1,349,175",127,"2,078,034"
Bulgaria,"1,339,321",21,"38,737","1,292,587","7,997","6,844,597"
Croatia,"1,309,728",,"18,687","1,258,432","32,609","4,059,286"
Guatemala,"1,286,737",,"20,283","1,263,625","2,829","18,584,039"
Morocco,"1,278,844",,"16,301",N/A,N/A,"37,772,756"
Lebanon,"1,243,838",,"10,952","1,087,587","145,299","6,684,849"
Costa Rica,"1,238,883",,"9,428",N/A,N/A,"5,182,354"
Bolivia,"1,211,716",,"22,407","1,177,145","12,164","11,992,656"
Tunisia,"1,153,361",,"29,423",N/A,N/A,"12,046,656"
Cuba,"1,115,235",,"8,530","1,106,635",70,"11,305,652"
Ecuador,"1,070,188",,"36,043","1,034,145",0,"18,113,361"
UAE,"1,067,030",,"2,349",N/A,N/A,"10,081,785"
Panama,"1,059,742",,"8,726","1,050,908",108,"4,446,964"
Uruguay,"1,041,111",,"7,664","1,030,944","2,503","3,496,016"
Mongolia,"1,011,456",,"2,284","1,009,172",0,"3,378,078"
Nepal,"1,003,450",,"12,031","991,322",97,"30,225,582"
Belarus,"994,037",,"7,118","985,592","1,327","9,432,800"
Latvia,"982,232",,"6,675","971,406","4,151","1,848,837"
Saudi Arabia,"841,469",,"9,646",N/A,N/A,"35,844,909"
Paraguay,"837,602",,"20,151",N/A,N/A,"7,305,843"
Azerbaijan,"834,630",,"10,400","824,089",141,"10,300,205"
Bahrain,"729,549",,"1,574","727,915",60,"1,783,983"
Cyprus,"681,110",,"1,365","679,745",0,"1,223,387"
Dominican Republic,"674,608",,"4,384","669,198","1,026","11,056,370"
Sri Lanka,"672,748",,"16,897","655,852",-1,"21,575,842"
Kuwait,"667,026",,"2,570",N/A,N/A,"4,380,326"
Myanmar,"641,770",,"19,495","620,159","2,116","55,227,143"
Moldova,"634,130",,"12,202",N/A,N/A,"4,013,171"
Estonia,"627,743",,"3,001",N/A,N/A,"1,321,910"
Palestine,"621,008",,"5,404","615,445",159,"5,345,541"
Venezuela,"552,695",,"5,856","546,537",302,"29,266,991"
Egypt,"516,023",,"24,613","442,182","49,228","106,156,692"
Qatar,"514,524",,690,"513,687",147,"2,979,915"
Libya,"507,274",,"6,437","500,835",2,"7,040,745"
Ethiopia,"501,117",,"7,574","488,171","5,372","120,812,698"
Réunion,"494,595",,921,N/A,N/A,"908,061"
Honduras,"474,590",,"11,165",N/A,N/A,"10,221,247"
Armenia,"451,426",,"8,776","435,162","7,488","2,971,966"
Bosnia and Herzegovina,"403,565",,"16,382","379,084","8,099","3,249,317"
Oman,"399,449",,"4,628",N/A,N/A,"5,323,993"
Luxembourg,"391,020",,"1,232",N/A,N/A,"642,371"
North Macedonia,"350,509",,"9,971","337,068","3,470","2,081,304"
Zambia,"349,304",,"4,069","341,316","3,919","19,470,234"
Kenya,"344,130",,"5,689","337,309","1,132","56,215,221"
Brunei,"342,802",,225,"243,601","98,976","445,431"
Albania,"334,863",,"3,605","330,233","1,025","2,866,374"
Botswana,"330,442",,"2,801","327,049",592,"2,441,162"
Montenegro,"296,452",,"2,845","291,794","1,813","627,950"
Algeria,"272,010",,"6,881","183,061","82,068","45,350,148"
Nigeria,"267,188",,"3,155","259,953","4,080","216,746,934"
Zimbabwe,"266,319",,"5,737","258,888","1,694","15,331,428"
Uzbekistan,"253,662",,"1,637","241,486","10,539","34,382,084"
Mozambique,"233,731",,"2,250","228,805","2,676","33,089,461"
Afghanistan,"231,625",,"7,984","209,990","13,651","40,754,388"
Martinique,"230,354",,"1,102",N/A,N/A,"374,087"
Laos,"218,934",,758,N/A,N/A,"7,481,023"
Iceland,"209,884",,229,N/A,N/A,"345,393"
Kyrgyzstan,"206,897",,"2,991","196,406","7,500","6,728,271"
Guadeloupe,"203,235",,"1,021",N/A,N/A,"399,794"
El Salvador,"201,855",,"4,230","179,410","18,215","6,550,389"
Trinidad and Tobago,"191,496",,"4,390","187,078",28,"1,406,585"
Maldives,"186,694",,316,"163,687","22,691","540,985"
Namibia,"172,280",,"4,103","167,099","1,078","2,633,874"
Uganda,"171,983",,"3,632","100,431","67,920","48,432,863"
Ghana,"171,889",,"1,462","170,425",2,"32,395,450"
Jamaica,"156,834",,"3,739",N/A,N/A,"2,985,094"
Cambodia,"139,091",,"3,056","136,031",4,"17,168,639"
Rwanda,"133,518",,"1,468","132,039",11,"13,600,464"
Cameroon,"125,359",,"1,974","123,276",109,"27,911,548"
Malta,"121,392",,882,"120,096",414,"444,033"
Barbados,"110,480",,648,"108,647","1,185","288,023"
Angola,"107,322",,"1,937","103,419","1,966","35,027,343"
Channel Islands,"101,717",,228,"101,321",168,"176,463"
DRC,"99,338",,"1,468","84,489","13,381","95,240,792"
French Guiana,"98,041",,420,"11,254","86,367","314,169"
Malawi,"89,168",,"2,686",N/A,N/A,"20,180,839"
Senegal,"89,053",,"1,971","87,024",58,"17,653,671"
Ivory Coast,"88,384",,835,"87,497",52,"27,742,298"
Suriname,"82,588",,"1,408",N/A,N/A,"596,831"
New Caledonia,"80,064",,314,N/A,N/A,"290,915"
French Polynesia,"79,254",,650,N/A,N/A,"284,164"
Eswatini,"75,191",,"1,427","73,116",648,"1,184,817"
Guyana,"74,137",,"1,300","72,013",824,"794,045"
Belize,"71,381",,688,N/A,N/A,"412,190"
Fiji,"69,117",,885,"67,226","1,006","909,466"
Madagascar,"68,486",,"1,426","66,862",198,"29,178,077"
Cabo Verde,"64,477",,417,"63,755",305,"567,678"
Sudan,"63,993",,"5,046","58,947",0,"45,992,020"
Mauritania,"63,832",,997,"62,471",364,"4,901,981"
Bhutan,"62,697",,21,"61,564","1,112","787,941"
Syria,"57,743",,"3,165","54,578",0,"19,364,809"
Burundi,"54,721",,38,"53,569","1,114","12,624,840"
Seychelles,"51,220",,172,"51,048",0,"99,426"
Gabon,"49,051",,307,"48,674",70,"2,331,533"
Andorra,"48,015",,165,N/A,N/A,"77,463"
Papua New Guinea,"46,864",,670,"46,168",26,"9,292,169"
Curaçao,"45,986",,295,"44,720",971,"165,529"
Aruba,"44,224",,292,"42,438","1,494","107,609"
Tanzania,"43,223",,846,N/A,N/A,"63,298,550"
Mauritius,"43,025",,"1,051","41,278",696,"1,274,727"
Mayotte,"42,027",,188,N/A,N/A,"286,259"
Togo,"39,557",,290,"39,265",2,"8,680,837"
Guinea,"38,572",,468,"37,757",347,"13,865,691"
Bahamas,"38,084",,844,"36,366",874,"400,516"
Isle of Man,"38,008",,116,N/A,N/A,"85,732"
Lesotho,"36,138",,723,"25,980","9,435","2,175,699"
Faeroe Islands,"34,658",,28,N/A,N/A,"49,233"
Haiti,"34,542",,860,"33,576",106,"11,680,283"
Mali,"33,164",,743,"32,332",89,"21,473,764"
Cayman Islands,"31,472",,37,"8,553","22,882","67,277"
Saint Lucia,"30,215",,410,"29,801",4,"185,113"
Benin,"28,036",,163,"27,847",26,"12,784,726"
Somalia,"27,334",,"1,361","13,182","12,791","16,841,795"
Micronesia,"26,547",,65,N/A,N/A,"117,489"
San Marino,"26,185",,128,"26,011",46,"34,085"
Solomon Islands,"25,954",,199,N/A,N/A,"721,159"
Congo,"25,375",,386,"24,006",983,"5,797,805"
Timor-Leste,"23,460",,138,"23,102",220,"1,369,429"
Macao,"22,706",,123,"3,487","19,096","667,490"
Burkina Faso,"22,109",,400,"21,596",113,"22,102,838"
Liechtenstein,"21,572",,94,N/A,N/A,"38,387"
Gibraltar,"20,550",,113,N/A,N/A,"33,704"
Grenada,"19,693",,238,"19,358",97,"113,475"
Bermuda,"18,860",,165,"18,685",10,"61,939"
South Sudan,"18,819",,147,"18,115",557,"11,618,511"
Nicaragua,"18,491",,225,"4,225","14,041","6,779,100"
Tajikistan,"17,786",,125,"17,264",397,"9,957,464"
Equatorial Guinea,"17,229",,183,"16,907",139,"1,496,662"
Monaco,"17,181",,67,N/A,N/A,"39,783"
Samoa,"17,006",,31,"1,605","15,370","202,239"
Tonga,"16,950",,13,"15,638","1,299","107,749"
Marshall Islands,"16,138",,17,"16,121",0,"60,057"
Dominica,"16,038",,74,"15,964",0,"72,344"
Djibouti,"15,690",,189,"15,427",74,"1,016,097"
CAR,"15,440",,113,"15,200",127,"5,016,678"
Gambia,"12,626",,372,"12,189",65,"2,558,482"
Saint Martin,"12,324",,63,N/A,N/A,"39,730"
Vanuatu,"12,019",,14,"11,976",29,"321,832"
Greenland,"11,971",,21,"2,761","9,189","56,973"
Yemen,"11,945",,"2,159","9,124",662,"31,154,867"
Caribbean Netherlands,"11,682",,38,"10,476","1,168","26,647"
Sint Maarten,"11,051",,92,"10,905",54,"43,966"
Eritrea,"10,189",,103,"10,086",0,"3,662,244"
Niger,"9,931",,312,"8,890",729,"26,083,660"
St. Vincent Grenadines,"9,674",,124,"9,493",57,"111,551"
Guinea-Bissau,"9,614",,177,"8,929",508,"2,063,367"
Comoros,"9,109",,161,"8,939",9,"907,419"
Antigua and Barbuda,"9,106",,146,"8,954",6,"99,509"
Liberia,"8,090",,295,"7,783",12,"5,305,117"
Sierra Leone,"7,779",,126,N/A,N/A,"8,306,436"
Chad,"7,701",,194,"4,874","2,633","17,413,580"
British Virgin Islands,"7,392",,64,N/A,N/A,"30,596"
Cook Islands,"7,203",,2,"7,150",51,"17,571"
Sao Tome and Principe,"6,751",,80,"6,671",0,"227,679"
Turks and Caicos,"6,749",,40,"6,683",26,"39,741"
Saint Kitts and Nevis,"6,607",,48,"6,559",0,"53,871"
Palau,"6,279",,10,"6,268",1,"18,233"
St. Barth,"5,507",,6,N/A,N/A,"9,945"
Nauru,"5,393",,1,"5,347",45,"10,903"
Kiribati,"5,085",,24,"2,703","2,358","123,419"
Anguilla,"3,904",,12,N/A,N/A,"15,230"
Wallis and Futuna,"3,550",,8,438,"3,104","10,982"
Saint Pierre Miquelon,"3,452",,2,"2,449","1,001","5,759"
Tuvalu,"2,943",,1,N/A,N/A,"12,066"
Saint Helena,"2,166",,,2,"2,164","6,115"
Falkland Islands,"1,930",,,"1,930",0,"3,539"
Montserrat,"1,403",,8,"1,376",19,"4,965"
Niue,"1,055",,,"1,053",2,"1,622"
Diamond Princess,712,,13,699,0,
Tokelau,80,,,,80,"1,378"
Vatican City,29,,,29,0,799
Western Sahara,10,,1,9,0,"626,161"
MS Zaandam,9,,2,7,0,
China,"503,302",,"5,272","379,053","118,977","1,448,471,400"
Total:,"131,413,625",,"1,674,775","126,866,566","2,872,284",
Total:,"221,452,228",161,"1,553,005","205,616,782","14,282,441",
Total:,"253,186,231",940,"2,100,109","248,509,042","2,577,080",
Total:,"69,791,773",,"1,365,551","66,648,277","1,777,945",
Total:,"14,826,780","1,345","32,665","14,572,565","221,550",
Total:,"12,859,770",,"258,884","12,089,899","510,987",
Total:,721,,15,706,0,
Total:,"703,531,128","2,446","6,985,004","674,303,837","22,242,287",
